Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B2582A,KLEIN BERG RIVER,Bridge,Bridge,11/20/2019,TR02303,12.43,Drakenstein,65,11.66,4,Simply supported,1/1/1949
B2584,24 RIVERS AT HALFMANSHOF NO 7,Bridge,Bridge,12/5/2001,DR01167,,,36.1,4.3,4,Continuous,1/1/1937
B2585,24 RIVERS AT HALFMANSHOF NO 6,Bridge,Bridge,11/12/2001,DR01167,,,10.8,7.35,1,Simply supported,1/1/1944
B2586,24 RIVERS AT HALFMANSHOF NO 5,Bridge,Bridge,11/12/2001,DR01167,,,10.8,7.3,1,Simply supported,1/1/1944
B2587,24 RIVERS AT HALFMANSHOF NO 4,Bridge,Bridge,11/12/2001,DR01167,,,10.9,7.3,1,Simply supported,1/1/1944
B2588,24 RIVERS AT HALFMANSHOF NO 3,Bridge,Bridge,11/12/2001,DR01167,,,101.1,4.6,15,Simply supported,1/1/1944
B2592,BRIDGE OVER ESSENBOSCH RIVER,Bridge,Bridge,11/20/2019,TR02303+,40.94,Bergrivier,38.8,10.96,4,Simply supported,1/1/1976
B2593,BRIDGE OVER KROM RIVER,Bridge,Bridge,11/20/2019,TR02303+,52.28,Bergrivier,67.2,11.38,7,Simply supported,1/1/1976
B2596,BRIDGE OVER RIEBEEK AT DOORNKUIL,Bridge,Bridge,11/6/2019,TR02501,39.85,Swartland,38,10.2,3,Continuous,1/1/1962
B2603,BOSKLOOF RIVER,Bridge,Bridge - Arch,11/13/2019,TR02701,46.09,City of Cape Town (LMB),9.5,8.05,1,Arch,1/1/1940
