Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B0981A,Brige over Berg River,Bridge,Bridge,11/20/2019,MR00189,39.68,,6/30/2022,11/20/2019,26976032,48283607,59098660,2573300,29549332,31880,74.3,24.95,5.2,,,,,,,,,,,,,1,0.5,50
B0998B,KROMME RIVER AT WELLINGTON,Bridge,Bridge,11/22/2019,MR00023,21.07,Drakenstein,6/30/2022,11/22/2019,6618916,14738677,16480690,500740,9361029,31880,28.8,17.95,2.5,,,,,,,,,,,,,1,0.43,67
B1001,BRIDGE OVER SOUT RIVER,Bridge,Bridge,11/12/2019,DR02383,10.19,Beaufort West,6/30/2022,11/12/2019,2496622,4200516,4739919,15535,2227762,31880,25.2,5.9,0.77,,,,,,,,,,,,,1,0.53,47
B1302,Steel Bridge over Gouritz River,Bridge,Bridge,11/5/2019,NR00206,52.96,Mossel Bay,6/30/2022,11/5/2019,0,1,0,0,0,31880,225,0,0,,,,,,,,,,,,,1,0.33,92
B1388,ELANDS DRIFT CAUSEWAY,Bridge,Bridge Cellular,12/5/2019,DR01205+,50.84,Cape Agulhas,6/30/2022,11/21/2019,401989,566680,932040,146750,383301,25890,,,,,6,6,0,,,,,,,,,,0.59,47
B1420,WITBRUG OVER KNYSNA LAGOON - SOUTHBOUND,Bridge,Bridge,1/23/2020,TR00210,54.77,Knysna,6/30/2022,7/13/2020,1,1,0,631695,0,31880,0,0,0,,,,,,,,,,,,,1,0.65,35
B1509,Courtney Street Overhead,Bridge,Bridge,11/9/2019,TR00210,1.92,George,6/30/2022,11/9/2019,7007852,14387553,15720670,600950,8111864,31880,26.8,18.4,5.75,,,,,,,,,,,,,1,0.48,54
B1564,SEEKOEI RIVER,Bridge,Bridge,11/7/2001,TR01105,11.73,,6/30/2022,11/7/2001,4733217,7964738,10484060,89448.6,5661391,31880,25.2,13.05,0,,,,,,,,,,,,,1,0.46,60
B1689,24 RIVERS AT HALFMANSHOF NO 2,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,859520,2163805,2554066,131458,1563089,31880,10.9,7.35,0,,,,,,,,,,,,,1,0.39,78
B1689A,24 RIVERS AT HALFMANSHOF NO 1,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,949388,2149085,2536692,34848,1552455,31880,10.9,7.3,0,,,,,,,,,,,,,1,0.39,78
B1730,VLEI RIVER,Bridge,Bridge,11/20/2019,DR01688,25.73,Kannaland,6/30/2022,11/20/2019,1743412,3746492,5557768,368540,3445816,31880,26.02,6.7,3.9,,,,,,,,,,,,,1,0.38,80
B1731,WYNANDS RIVER,Bridge,Bridge,11/7/2019,DR01688+,38.85,Oudtshoorn,6/30/2022,11/7/2019,3230776,3470392,4391789,194820,966193,31880,20.5,6.72,3.6,,,,,,,,,,,,,1,0.78,22
B2040,ROAD OVER RAIL AT LANGENHOVEN,Bridge,Bridge,11/5/2019,TR07501+,31.7,Oudtshoorn,6/30/2022,11/5/2019,16616518,16599422,22082510,607840,4858152,31880,54.2,12.78,5.21,,,,,,,,,,,,,1,0.78,22
B2100,Camfersdrift River,Bridge,Bridge,11/10/2019,TR00101,0.56,George,6/30/2022,11/10/2019,2378405,4932637,5207598,37920,2791273,31880,9.9,16.5,3.72,,,,,,,,,,,,,1,0.46,59
B2101,Malgas River,Bridge,Bridge - Arch,11/10/2019,TR00101,4.15,George,6/30/2022,11/10/2019,15385909,19725524,19725520,0,4339615,63750,19.1,16.2,,18.1,,,,,,,,,,,,1,0.78,22
B2102,ROAD OVER RAIL NEAR CAMPHER STATION,Bridge,Bridge,7/30/2020,TR00102+,4.89,George,6/30/2022,7/30/2020,1537340,3490058,3695530,0,2158189,31880,8.05,14.4,4.72,,,,,,,,,,,,,1,0.42,71
B2103,Doorn River,Bridge,Bridge,11/18/2019,TR00102,8.75,George,6/30/2022,11/18/2019,4370902,10436776,10772890,110620,6291368,31880,38.4,8.8,5.25,,,,,,,,,,,,,1,0.42,71
B2107,Ezeljacht River,Bridge,Bridge,11/19/2019,TR00102,20.27,George,6/30/2022,11/19/2019,1793644,4991011,5248723,410820,3044259,31880,19.6,8.4,3.78,,,,,,,,,,,,,1,0.42,70
B2108,Ganzekraal River,Bridge,Bridge,11/19/2019,TR00102,34.74,George,6/30/2022,11/19/2019,3261666,7600657,7739189,19750,4457773,31880,28.9,8.4,4.65,,,,,,,,,,,,,1,0.42,69
B2109,BRIDGE OVER MOLEN RIVER,Bridge,Bridge,2/1/2021,TR00102,44.44,George,6/30/2022,2/1/2021,4411905,10011819,10240180,11850,5816420,31880,38.7,8.3,4.92,,,,,,,,,,,,,1,0.43,67
B2110,BRIDGE OVER DIEP RIVER,Bridge,Bridge,2/1/2021,TR00102,45.69,George,6/30/2022,2/1/2021,2926308,6773862,6773863,0,3847554,31880,25.6,8.3,3.69,,,,,,,,,,,,,1,0.43,67
B2111,BRIDGE OVER KEURBOOMS RIVER,Bridge,Bridge,2/1/2021,TR00102,58.96,George,6/30/2022,2/1/2021,4472575,9895078,9895078,0,5422503,47800,16.3,12.7,8.2,,,,,,,,,,,,,1,0.45,62
B2112,BRIDGE OVER POTJIES RIVER,Bridge,Bridge,2/1/2021,TR00102,77.29,George,6/30/2022,2/1/2021,3518858,7713997,7854595,0,4335736,31880,19.4,12.7,4.61,,,,,,,,,,,,,1,0.45,63
B2113,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR00103+,0.02,George,6/30/2022,2/1/2021,11973423,23382364,26319640,28330,14317883,47800,48.3,11.4,9.03,,,,,,,,,,,,,1,0.46,61
B2114,Olifants River,Bridge,Bridge,11/22/2019,TR0103,32.13,George,6/30/2022,11/22/2019,8851458,19411094,19411090,0,10559636,31880,51.6,11.8,4.12,,,,,,,,,,,,,1,0.46,61
B2167,Black River Viaduct (Voortrekker Road),Bridge,Bridge,11/6/2019,TR00201,0.66,City of Cape Town (LMB),6/30/2022,11/6/2019,300025855,414108612,570319000,2243220,268049901,47800,371,32.16,9,,,,,,,,,,,,,1,0.53,47
B2168,BERKLEY ROAD UNDERPASS,Bridge,Bridge,11/6/2019,TR00201,1.12,City of Cape Town (LMB),6/30/2022,11/6/2019,23074199,35155996,43748130,112310,20561619,31880,48.15,28.5,7,,,,,,,,,,,,,1,0.53,47
B2170,BLACK RIVER AT VALKENBERG NO 1,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),6/30/2022,11/11/2003,11415964,20060682,25025800,95903.1,13513933,31880,62.8,12.5,0,,,,,,,,,,,,,1,0.46,60
B2170A,BLACK RIVER AT VALKENBERG NO 2,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),6/30/2022,11/11/2003,20599149,19665274,25025800,172264.8,4254386,31880,62.8,12.5,0,,,,,,,,,,,,,1,0.83,17
B2172,Black River NE Ramp,Bridge,Bridge,11/7/2019,TR00201,3,City of Cape Town (LMB),6/30/2022,11/7/2019,7414437,10360272,14325600,178130,6733030,31880,54.8,8.2,3.5,,,,,,,,,,,,,1,0.53,47
B2175,ELSIESKRAAL RIVER,Bridge,Bridge,11/15/2019,TR00201,5,City of Cape Town (LMB),6/30/2022,11/15/2019,8786003,14612978,17693400,591500,8315897,31880,15,37,7,,,,,,,,,,,,,1,0.53,47
B2177,Bokmakierie Road Interchange,Bridge,Bridge,11/8/2019,TR00201,5.64,City of Cape Town (LMB),6/30/2022,11/8/2019,8663228,30869256,51569090,18668390,24237470,31880,67.4,24,6,,,,,,,,,,,,,1,0.53,47
B2178,LANGA ROAD INTERCHANGE,Bridge,Bridge,11/13/2019,TR00201,6.84,City of Cape Town (LMB),6/30/2022,11/13/2019,8965014,14501231,17210100,156340,8088746,31880,48.2,11.2,6.5,,,,,,,,,,,,,1,0.53,47
B2179,VANGUARD DRIVE INTERCHANGE NO 01,Bridge,Bridge,11/13/2019,TR00201,8.85,City of Cape Town (LMB),6/30/2022,11/13/2019,13361420,19817266,26144150,494980,12287750,31880,53.6,15.3,7,,,,,,,,,,,,,1,0.53,47
B2180,MODDERDAM INTERCHANGE,Bridge,Bridge,11/12/2019,TR00201,10.45,City of Cape Town (LMB),6/30/2022,11/12/2019,12980970,20067874,25248960,400980,11867010,31880,52.8,15,6.5,,,,,,,,,,,,,1,0.53,47
B2181,NYANGA ROAD OVER RAIL NO 1,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),6/30/2022,4/2/2003,3524372,8096957,10113610,1127889,5461350,31880,20.6,15.4,6.4,,,,,,,,,,,,,1,0.46,60
B2181A,NYANGA ROAD OVER RAIL NO2 - WIDENING NEW NUMBER B5955,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),6/30/2022,4/2/2003,2916511,7946264,10113610,1735750,5461350,31880,20.6,15.4,6.4,,,,,,,,,,,,,1,0.46,60
B2182,NYANGA WEST ROAD OVER ROAD - REPLACED BY B5996,Bridge,Bridge,4/3/2003,TR00201,11.47,City of Cape Town (LMB),6/30/2022,4/3/2003,9917408,18247561,22035460,130759,11987289,31880,54,12.8,6.4,,,,,,,,,,,,,1,0.46,61
B2184,BORCHERDS QUARRY ROAD INTERCHANGE NO 01,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),6/30/2022,11/12/2019,10481064,15986111,19893120,62290,9349766,31880,39,16,6.5,,,,,,,,,,,,,1,0.53,47
B2184A,BORCHERDS QUARRY INTERCHANGE NO 2,Bridge,Bridge,11/12/2019,TR00201,14.14,City of Cape Town (LMB),6/30/2022,11/12/2019,10471004,15926431,19893120,72350,9349766,31880,39,16,6.5,,,,,,,,,,,,,1,0.53,47
B2219,Great Brak River,Bridge,Bridge,11/7/2019,TR00209,0.88,Mossel Bay,6/30/2022,11/7/2019,21632778,26530261,27850370,90510,6127080,31880,104,8.4,3.5,,,,,,,,,,,,,1,0.78,22
B2221,Maalgaten River,Bridge,Bridge - Arch,11/8/2019,TR00209,15.1,George,6/30/2022,11/8/2019,13419048,35954351,36718090,240080,23058960,63750,78.9,7.3,,25.6,,,,,,,,,,,,1,0.37,82
B2231,BRIDGE OVER GOUKAMMA RIVER,Bridge,Bridge,11/28/2019,OP06916,0.18,Knysna,6/30/2022,11/28/2019,6779211,15838436,18146700,406880,10960605,47800,48.3,7.86,8.37,,,,,,,,,,,,,1,0.4,76
B2233,WITBRUG OVER KNYSNA LAGOON - NORTHBOUND,Bridge,Bridge,1/23/2020,TR00210,54.76,Knysna,6/30/2022,7/13/2020,1,1,0,631695,0,31880,0,0,0,,,,,,,,,,,,,1,0.42,71
B2237A,SALT RIVER,Bridge,Bridge - Arch,10/30/2019,TR00212,15.09,Bitou,6/30/2022,10/31/2019,13219896,23740998,25264440,170260,11874288,63750,46.9,8.45,,2.9,,,,,,,,,,,,1,0.53,47
B2238,BRIDGE OVER GROOT RIVER,Bridge,Bridge,10/31/2019,TR00212,25.97,Bitou,6/30/2022,10/31/2019,6556772,14859365,15914500,0,9357724,31880,65,7.68,1.5,,,,,,,,,,,,,1,0.41,72
B2239,BLAAUWKRANTZ RIVER,Bridge,Bridge - Arch,11/2/2019,TR00212,37.25,Bitou,6/30/2022,11/8/2019,6073290,14272325,16511250,795390,9642570,63750,35,7.4,,15,,,,,,,,,,,,1,0.42,71
B2361,BREEDE RIVER AT NIEUWDRIFT,Bridge,Bridge,11/7/2019,TR00902,45.25,Breede Vallei,6/30/2022,11/7/2019,20398550,44894403,50505570,5700,30101322,31880,193.2,8.2,3.5,,,,,,,,,,,,,1,0.4,74
B2362,BREEDE RIVER AT AMANDEL SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46,Breede Vallei,6/30/2022,11/7/2019,6620960,13876278,16756770,215800,9920006,31880,64.1,8.2,4.5,,,,,,,,,,,,,1,0.41,73
B2363,BREEDE RIVER AT BOTHAS SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46.33,Breede Vallei,6/30/2022,11/7/2019,13370552,28356618,34292680,620860,20301268,31880,129.6,8.3,6.22,,,,,,,,,,,,,1,0.41,73
B2364,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,TR00902,50.55,Breede Vallei,6/30/2022,10/31/2019,2106662,6503840,7208068,718900,4382506,31880,26.6,8.5,2.3,,,,,,,,,,,,,1,0.39,77
B2365,ROAD OVER RAIL AT HARTEBEESTKRAAL,Bridge,Bridge,10/31/2019,TR06902,51.6,Breede Vallei,6/30/2022,10/31/2019,1523451,3493850,4123997,159140,2441406,31880,13.2,9.8,5.1,,,,,,,,,,,,,1,0.41,73
B2414,BRIDGE OVER DIEP RIVER KLEIN VISSERSHOK ROAD,Bridge,Bridge,6/28/2021,YOP00089,0.27,City of Cape Town (LMB),6/30/2022,,,,,,,31880,0,0,0,,,,,,,,,,,,,1,0.53,47
B2420,DARLING ROAD INTERCHANGE NBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,6/30/2022,8/28/2001,1,5175254,6336788,9289742,3447213,31880,13.9,14.3,6.6,,,,,,,,,,,,,1,0.46,61
B2420A,DARLING ROAD INTERCHANGE SBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,6/30/2022,8/28/2001,1,4132800,5051705,11629050,2808748,31880,13.9,11.4,6.6,,,,,,,,,,,,,1,0.44,64
B2422,KROMSPRUIT NO 1,Bridge,Bridge,11/7/2001,TR01102,14.89,,6/30/2022,11/7/2001,1,4497828,5465826,2534930,3017136,31880,13.5,12.7,2.1,,,,,,,,,,,,,1,0.45,63
B2423,KROMSPRUIT NO 2,Bridge,Bridge,10/9/2001,TR01102,18.3,,6/30/2022,10/9/2001,1,6006518,8057033,4703700,4447482,31880,19.9,12.7,2.7,,,,,,,,,,,,,1,0.45,63
B2424,KROMSPRUIT NO 3,Bridge,Bridge,11/7/2003,TR01102,18.92,,6/30/2022,11/7/2003,2323149,4251192,5147345,24040,2800156,31880,13.8,11.7,3.6,,,,,,,,,,,,,1,0.46,61
B2427,ROAD OVER RAIL NEAR RIETFONTEIN,Bridge,Bridge,11/18/2019,MR00527+,1.82,Bergrivier,6/30/2022,11/18/2019,1915230,5966130,7702208,980800,4806178,31880,30.2,8,5,,,,,,,,,,,,,1,0.38,81
B2429,MARKUSKRAAL RIVER,Bridge,Bridge,11/7/2003,TR01104,63.13,,6/30/2022,11/7/2003,1,7295891,8182002,6051488,4712833,31880,29.5,8.7,3.2,,,,,,,,,,,,,1,0.42,69
B2430,ELANDSKLOOF RIVER,Bridge,Bridge,11/5/2001,TR01104,67.36,,6/30/2022,11/5/2001,1,3626592,4874452,10683790,2788187,31880,13.9,11,4,,,,,,,,,,,,,1,0.43,68
B2431,KRANSVLEI RIVER,Bridge,Bridge,11/7/2003,TR01104,89.22,,6/30/2022,11/7/2003,2284686,4910505,5956459,359981.7,3311791,31880,17.3,10.8,4.3,,,,,,,,,,,,,1,0.44,64
B2432,WELGEMEENT CANAL NO 1,Bridge,Bridge,11/6/2001,TR01105,34.51,,6/30/2022,11/6/2001,1961550,3867207,4270326,2800,2305976,31880,11.4,11.75,0,,,,,,,,,,,,,1,0.46,60
B2433,WELGEMEENT CANAL NO 2,Bridge,Bridge,11/6/2001,TR01105,34.59,,6/30/2022,11/6/2001,1961550,3950052,4270326,2800,2305976,31880,11.4,11.75,0,,,,,,,,,,,,,1,0.46,60
B2435,OLIFANTS RIVER AT KRANTZ,Bridge,Bridge - Arch,11/7/2003,TR01105,47.84,,6/30/2022,11/7/2003,38778632,80076959,88678800,240037.3,49660131,63750,165.6,8.4,,92.6,,,,,,,,,,,,1,0.44,65
B2436,SYPHON CANAL AT KRANTZ,Bridge,Bridge,1/7/2002,TR01105,48.03,,6/30/2022,1/7/2002,2501931,4934484,5603548,30871.8,3070744,31880,8.1,21.7,0,,,,,,,,,,,,,1,0.45,62
B2491A,OLIFANTS RIVER,Bridge,Bridge,11/8/2019,TR01601+,0.91,Matzikama,6/30/2022,11/8/2019,32770928,73425289,83258060,4195650,46291486,31880,251.6,10.38,6.72,,,,,,,,,,,,,1,0.44,64
B2492,DROE RIVER,Bridge,Bridge,11/7/2019,TR01601+,21.7,Matzikama,6/30/2022,11/7/2019,956806,3695886,4118896,624850,2537240,31880,19,6.8,2.83,,,,,,,,,,,,,1,0.38,79
B2493,DROE RIVER,Bridge,Bridge,11/7/2019,TR01602+,8.93,Matzikama,6/30/2022,11/7/2019,2362321,5678898,6360060,461545,3536194,31880,21,9.5,3.18,,,,,,,,,,,,,1,0.44,64
B2514,BRIDGE OVER TOWERWATER RIVER,Bridge,Bridge,11/11/2019,TR01610,10.58,Beaufort West,6/30/2022,11/11/2019,2641732,5141078,6834722,256190,3936800,31880,28.7,7.47,5,,,,,,,,,,,,,1,0.42,69
B2515,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01610,26.12,Beaufort West,6/30/2022,11/11/2019,3630210,6982032,8363718,150190,4583318,31880,31.8,8.25,5,,,,,,,,,,,,,1,0.45,62
B2516,BRIDGE OVER POORTJIES STREAM,Bridge,Bridge,11/11/2019,TR01610,30.98,Beaufort West,6/30/2022,11/11/2019,2231480,4201571,4927373,35111.3,2660782,31880,14.72,10.5,4.83,,,,,,,,,,,,,1,0.46,60
B2566,WILGENHOUT RIVER NO 1,Bridge,Bridge,11/20/2019,TR02001,19.1,Laingsburg,6/30/2022,11/20/2019,4707426,10194520,10507650,0,5800222,31880,32,10.3,3.35,,,,,,,,,,,,,1,0.45,63
B2567,WILGENHOUT RIVER NO 2,Bridge,Bridge,11/21/2019,TR02001,20.92,Laingsburg,6/30/2022,11/21/2019,3671607,7506487,8123024,0,4451417,31880,24.5,10.4,2.71,,,,,,,,,,,,,1,0.45,62
B2568,WILGENHOUT RIVER NO 3,Bridge,Bridge,11/18/2019,TR02001,23.41,Laingsburg,6/30/2022,11/3/2019,2470611,5055000,5418006,0,2947395,31880,16.5,10.3,4.06,,,,,,,,,,,,,1,0.46,61
B2569,NUWERUS RIVER BRIDGE,Bridge,Bridge,11/19/2019,TR02001,29.66,Laingsburg,6/30/2022,11/19/2019,3761085,7548563,8247994,0,4486909,31880,24.5,10.56,3.66,,,,,,,,,,,,,1,0.46,61
B2574,KLEIN BERG RIVER AT UITKYK,Bridge,Bridge,11/15/2019,TR02201+,5.84,Witzenberg,6/30/2022,11/15/2019,5536459,12517830,12920960,355500,7029005,31880,38.6,10.5,3.3,,,,,,,,,,,,,1,0.46,61
B2575,"DWARS RIVER AT CERES ""VAN BREDA BRIDGE""",Bridge,Bridge,11/7/2019,TR02201+,36.8,Witzenberg,6/30/2022,11/7/2019,10167653,35216015,36948920,1656000,25125267,31880,95,12.2,1,,,,,,,,,,,,,1,0.32,95
B2577A,SKAAP RIVER,Bridge,Bridge,11/7/2019,TR02202+,10.92,Witzenberg,6/30/2022,11/7/2019,3320621,7641381,7906240,0,4585619,31880,20,12.4,4.25,,,,,,,,,,,,,1,0.42,70
B2578,DORING RIVER,Bridge,Bridge,11/7/2019,TR02202+,40.58,Witzenberg,6/30/2022,11/7/2019,3126924,5567026,6758560,90150,3541486,31880,20,10.6,3.2,,,,,,,,,,,,,1,0.48,56
B2579,HARTEBEESKRAAL RIVER NO 2 CULVERT,Bridge,Bridge Cellular,11/13/2019,TR02202+,51.68,Witzenberg,6/30/2022,11/12/2019,2075815,3114430,3565053,23110,1466128,25890,,,,,13.5,10.2,0,,,,,,,,,,0.59,47
B2580,HARTEBEESKRAAL RIVER NO 3 CULVERT,Bridge,Bridge Cellular,11/13/2019,TR02202+,53.45,Witzenberg,6/30/2022,11/13/2019,1258939,2003709,2143692,3160,881593,25890,,,,,6.9,12,0,,,,,,,,,,0.59,47
B2581,BRIDGE AT SONQUAS DOOR DRIFT,Bridge,Bridge Cellular,11/21/2019,TR02302,3.2,Drakenstein,6/30/2022,11/21/2019,1005544,2031154,2517544,476660,1035340,25890,,,,,6.8,14.3,1.2,,,,,,,,,,0.59,47
B2582A,KLEIN BERG RIVER,Bridge,Bridge,11/20/2019,TR02303,12.43,Drakenstein,6/30/2022,11/20/2019,9710345,21769828,24161850,147690,14303817,31880,65,11.66,4.54,,,,,,,,,,,,,1,0.41,73
B2584,24 RIVERS AT HALFMANSHOF NO 7,Bridge,Bridge,12/5/2001,DR01167,,,6/30/2022,12/5/2001,1401034,3596739,4948733,380510,3167189,31880,36.1,4.3,0,,,,,,,,,,,,,1,0.36,85
B2585,24 RIVERS AT HALFMANSHOF NO 6,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,909646,2186215,2530635,72240,1548748,31880,10.8,7.35,0,,,,,,,,,,,,,1,0.39,78
B2586,24 RIVERS AT HALFMANSHOF NO 5,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,913307,2122331,2513419,61900,1538213,31880,10.8,7.3,0,,,,,,,,,,,,,1,0.39,78
B2587,24 RIVERS AT HALFMANSHOF NO 4,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,904256,2036456,2536692,79980,1552455,31880,10.9,7.3,0,,,,,,,,,,,,,1,0.39,78
B2588,24 RIVERS AT HALFMANSHOF NO 3,Bridge,Bridge,11/12/2001,DR01167,,,6/30/2022,11/12/2001,5495587,11229298,14826110,256945,9073581,31880,101.1,4.6,0,,,,,,,,,,,,,1,0.39,78
B2592,BRIDGE OVER ESSENBOSCH RIVER,Bridge,Bridge,11/20/2019,TR02303+,40.94,Bergrivier,6/30/2022,11/20/2019,7316660,13239675,13556910,4070,6236176,31880,38.8,10.96,2.4,,,,,,,,,,,,,1,0.54,46
B2593,BRIDGE OVER KROM RIVER,Bridge,Bridge,11/20/2019,TR02303+,52.28,Bergrivier,6/30/2022,11/20/2019,13076244,23799546,24379780,88840,11214700,31880,67.2,11.38,2.4,,,,,,,,,,,,,1,0.54,46
B2596,BRIDGE OVER RIEBEEK AT DOORNKUIL,Bridge,Bridge,11/6/2019,TR02501,39.85,Swartland,6/30/2022,11/11/2019,5601916,11602930,12356690,82160,6672612,31880,38,10.2,4,,,,,,,,,,,,,1,0.46,60
B2603,BOSKLOOF RIVER,Bridge,Bridge - Arch,11/13/2019,TR02701,46.09,City of Cape Town (LMB),6/30/2022,11/13/2019,1231375,4049409,4875282,582230,3061677,63750,9.5,8.05,,9.5,,,,,,,,,,,,1,0.37,82
B2604,STEENBRAS RIVER (BENNING BRIDGE),Bridge,Bridge - Arch,11/13/2019,TR02701,53.1,City of Cape Town (LMB),6/30/2022,11/13/2019,10594546,28830623,33180600,819580,21766474,63750,65.06,8,,18.3,,,,,,,,,,,,1,0.34,89
B2609,VOGELGAT RIVER,Bridge,Bridge,11/29/2002,TR02802,8.21,Overstrand,6/30/2022,11/29/2002,1,3825982,4782478,6051678,2582538,31880,13.7,10.95,3.45,,,,,,,,,,,,,1,0.46,60
B2610,KLEIN RIVER,Bridge,Bridge,10/10/2002,TR02802,22.93,Overstrand,6/30/2022,10/10/2002,4251645,8939250,10872360,140786,6479924,31880,40.6,8.4,0,,,,,,,,,,,,,1,0.4,74
B2618,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,TR02902+,8.68,Cape Agulhas,6/30/2022,11/20/2019,2318271,5085370,5738400,45950,3374179,31880,25,7.2,2,,,,,,,,,,,,,1,0.41,72
B2619,ROAD OVER RAIL AT DE VLEI ,Bridge,Bridge,11/20/2019,TR03001+,1.53,Theewaterskloof,6/30/2022,11/20/2019,1725874,3163816,3272801,8710,1538216,31880,8.7,11.8,6.2,,,,,,,,,,,,,1,0.53,47
B2620,THEEWATERSKLOOF DAM SPILLWAY,Bridge,Bridge,11/20/2019,TR03001+,22.39,Theewaterskloof,6/30/2022,11/20/2019,6783332,10273558,12841950,279740,5778876,47800,20.2,13.3,20,,,,,,,,,,,,,1,0.55,45
B2623A,BRIDGE OVER KLIPRIVIER (STETTYN),Bridge,Bridge,11/1/2019,TR03002+,16.03,Breede Vallei,6/30/2022,11/1/2019,1085218,3161651,3838352,557597,2195537,31880,14,8.6,2.53,,,,,,,,,,,,,1,0.43,68
B2642,KINGNA RIVER NO1 AT COGMANSKLOOF,Bridge,Bridge,11/29/2019,TR03102,22.2,Langeberg,6/30/2022,11/29/2019,3487992,9275928,12243830,3001240,5754601,31880,51.9,7.4,3.5,,,,,,,,,,,,,1,0.53,47
B2643,KINGNA RIVER NO 2 AT COGMANSKLOOF,Bridge,Bridge,10/31/2019,TR03102,23.52,Langeberg,6/30/2022,10/31/2019,5071070,12098263,13284580,561590,7651916,47800,38.6,7.2,10.97,,,,,,,,,,,,,1,0.42,69
B2644,KINGNA RIVER NO1 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03102,25.89,Langeberg,6/30/2022,11/29/2019,24968927,24910325,25478500,0,509569,31880,66.6,12,4,,,,,,,,,,,,,1,0.98,2
B2645,KINGNA RIVER NO 2 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03103,1.25,Langeberg,6/30/2022,11/29/2019,2850919,8235122,9084525,1963880,4269726,31880,27.4,10.4,3.1,,,,,,,,,,,,,1,0.53,47
B2654A,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,9.37,Swellendam,6/30/2022,11/18/2019,1504450,5992643,7970000,2097990,4367560,31880,25,10,4,,,,,,,,,,,,,1,0.45,62
B2655,BRIDGE OVER KOENIEKUILS RIVER,Bridge,Bridge,11/21/2019,TR08304,31.96,Kannaland,6/30/2022,11/21/2019,3297855,7148791,7957248,330650,4328743,31880,24,10.4,3,,,,,,,,,,,,,1,0.46,61
B2656,BOSVLAKTE RIVER,Bridge,Bridge,11/21/2019,TR08304,38.65,Kannaland,6/30/2022,11/21/2019,2785727,5981326,6758560,323210,3649623,31880,20,10.6,2.4,,,,,,,,,,,,,1,0.46,60
B2657,BRIDGE OVER TOUWS RIVER,Bridge,Bridge,11/21/2019,TR08304,42.99,Kannaland,6/30/2022,11/21/2019,15794951,29984502,35147700,372990,18979759,31880,105,10.5,4.6,,,,,,,,,,,,,1,0.46,60
B2658,BRIDGE OVER BOBBEJAANKRANS RIVER,Bridge,Bridge,11/21/2019,TR08304,45.16,Kannaland,6/30/2022,11/21/2019,3529357,7886876,8703240,439320,4734563,31880,26,10.5,3,,,,,,,,,,,,,1,0.46,61
B2659,BRIDGE OVER GROOT RIVER,Bridge,Bridge,11/20/2019,TR03104,57.37,Kannaland,6/30/2022,11/20/2019,13145625,23253650,30588860,925250,16517985,31880,95,10.1,5.8,,,,,,,,,,,,,1,0.46,60
B2660,STASSENSLEEGTE RIVER,Bridge,Bridge,11/20/2019,TR03104,65.9,Kannaland,6/30/2022,11/20/2019,2018519,4106704,4465751,0,2447231,31880,13.6,10.3,3.9,,,,,,,,,,,,,1,0.45,62
B2664,NELS RIVER AT ZOAR ,Bridge,Bridge,11/19/2019,TR03105,18.53,Kannaland,6/30/2022,11/19/2019,1482797,3002180,3514611,77690,1954124,31880,12.97,8.5,3.67,,,,,,,,,,,,,1,0.44,64
B2665,SEVEN WEEKS POORT RIVER ,Bridge,Bridge,11/19/2019,TR03105,20.48,Kannaland,6/30/2022,11/19/2019,4126721,7854366,9296208,37980,5131507,31880,27,10.8,3.14,,,,,,,,,,,,,1,0.45,63
