Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B0498,WELGEMOED RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,DR01479+,0.76,Witzenberg,6/30/2022,11/13/2019,1255606,1651384,1651384,15960,379818,31880,7,7.4,3.2,,,,,,,,,,,,,1,0.77,23
B0499,WINTERHOEK RIVER,Bridge,Bridge,11/20/2019,DR01476+,0.19,Witzenberg,6/30/2022,11/20/2019,1186382,2857208,3076898,32070,1858447,31880,19.9,4.85,2.2,,,,,,,,,,,,,1,0.4,76
B0501,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01464+,0.88,Witzenberg,6/30/2022,11/19/2019,1135990,2587677,2905543,95960,1673593,31880,18.6,4.9,3.65,,,,,,,,,,,,,1,0.42,69
B0502,BUFFELS RIVER CAUSEWAY FRORISKRAAL,Bridge,Bridge Cellular,6/2/2020,DR01463,7.98,Laingsburg,6/30/2022,11/8/2019,768203,1891791,1965905,148400,1049302,25890,,,,,21.45,3.54,0,,,,,,,,,,0.47,61
B0503,KROM RIVER,Bridge,Bridge,11/19/2019,DR01461+,0.72,Witzenberg,6/30/2022,11/20/2019,2832359,8329625,9568782,0,6736423,31880,29,10.35,4.5,,,,,,,,,,,,,1,0.3,101
B0504,KLEIN BERG RIVER,Bridge,Bridge,11/19/2019,DR01461+,5.89,Witzenberg,6/30/2022,11/19/2019,2639909,5494626,6123511,78930,3404672,31880,39.2,4.9,2.5,,,,,,,,,,,,,1,0.44,64
B0505,SCHAAP RIVER NO 2,Bridge,Bridge,11/11/2019,DR01458+,10.62,Witzenberg,6/30/2022,11/11/2019,2233832,2594726,2901080,0,667248,31880,7,13,1.9,,,,,,,,,,,,,1,0.77,23
B0505A,SCHAAP RIVER NO 1,Bridge,Bridge,11/11/2019,DR01458+,10.22,Witzenberg,6/30/2022,11/11/2019,2011952,2594726,2901080,221880,667248,31880,7,13,2.1,,,,,,,,,,,,,1,0.77,23
B0506,WATERFALL RIVER,Bridge,Bridge,11/18/2019,DR01444+,2.61,Witzenberg,6/30/2022,11/18/2019,1034153,2531840,2900825,207400,1659272,31880,18.8,4.84,2.45,,,,,,,,,,,,,1,0.43,68
B0507,BRIDGE OVER HEX RIVER NEAR DE DOORNS,Bridge,Bridge,10/30/2019,DR01438+,0.6,Breede Vallei,6/30/2022,10/30/2019,2658249,7523951,9085800,1303160,5124391,31880,30,9.5,5,,,,,,,,,,,,,1,0.44,66
B0508,HEX RIVER,Bridge,Bridge,7/10/2002,DR01438,5.6,Breede Vallei,6/30/2022,7/10/2002,1043363,2655897,3197564,43809,2110392,31880,23.6,4.25,0,,,,,,,,,,,,,1,0.34,90
B0509,WABOOMS RIVER NO 2,Bridge,Bridge,11/14/2019,DR01434+,5.69,Witzenberg,6/30/2022,11/14/2019,1009557,2147426,2221399,65600,1146242,31880,6.7,10.4,3.1,,,,,,,,,,,,,1,0.48,54
B0510A,WABOOMS RIVER NO 1,Bridge,Bridge,11/14/2019,DR01434+,3.33,Witzenberg,6/30/2022,11/13/2019,770293,2340657,2421286,82000,1568993,31880,7,10.85,2,,,,,,,,,,,,,1,0.35,87
B0512,Touws River,Bridge,Bridge,10/29/2019,DR0142,21.3,Breede Vallei,6/30/2022,10/29/2019,1243756,3032647,3461531,127010,2090765,31880,17.8,6.1,4.5,,,,,,,,,,,,,1,0.4,76
B0513,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,DR01425,0.63,Breede Vallei,6/30/2022,10/31/2019,508902,1143866,1434855,65040,860913,31880,9.7,4.64,2.4,,,,,,,,,,,,,1,0.4,75
B0514,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,DR01418,3.42,Breede Vallei,6/30/2022,10/31/2019,1381686,2208612,2606955,0,1225269,31880,9.9,8.26,3.2,,,,,,,,,,,,,1,0.53,47
B0518,KONINGS RIVER,Bridge,Bridge,11/17/2019,DR01334,9.33,Langeberg,6/30/2022,11/17/2019,1835890,4877510,5613431,184945,3592596,31880,28.4,6.2,2.2,,,,,,,,,,,,,1,0.36,85
B0519,HEX RIVER AT AAN DE DOORNS NO 1,Bridge,Bridge,11/7/2019,DR01395+,1.43,Breede Vallei,6/30/2022,11/7/2019,1793801,4504483,5574856,659135,3121919,31880,20.1,8.7,3.7,,,,,,,,,,,,,1,0.44,65
B0520,HEX RIVER AT AAN DE DOORNS NO 2,Bridge,Bridge,11/6/2019,DR01395+,1.5,Breede Vallei,6/30/2022,12/7/2019,4226609,9939915,11843100,984355,6632137,31880,42.7,8.7,3.75,,,,,,,,,,,,,1,0.44,65
B0524,HUGOS RIVER,Bridge,Bridge,11/21/2019,DR01385,2.2,Drakenstein,6/30/2022,11/21/2019,1171829,2838493,2996720,98780,1726111,31880,9.4,10,2.5,,,,,,,,,,,,,1,0.42,69
B0525,HOEKS RIVER AT MOORDKUIL,Bridge,Bridge,11/1/2019,DR01347+,24.23,Breede Vallei,6/30/2022,11/1/2019,3197624,7196642,8033760,337230,4498906,31880,30,8.4,4,,,,,,,,,,,,,1,0.44,65
B0527A,FRANSCHOEK ROVER BRIDGE,Bridge,Bridge,11/27/2019,DR01343,2.46,Stellenbosch,6/30/2022,11/27/2019,669896,1738327,2483325,462500,1350929,31880,9.1,8.56,2.93,,,,,,,,,,,,,1,0.46,61
B0532A,BRIDGE OVER KLIPRIVIER,Bridge,Bridge,12/11/2019,DR01325+,0.63,Swellendam,6/30/2022,11/15/2019,5628184,9149774,11169160,291470,5249504,31880,63.7,5.5,5,,,,,,,,,,,,,1,0.53,47
B0536,DUIWENHOKS RIVER CAUSEWAY,Bridge,Bridge,2/12/2003,DR01315,,,6/30/2022,2/12/2003,10267055,12067998,14021140,529225,3224863,31880,72.1,6.1,0,,,,,,,,,,,,,1,0.77,23
