Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2040,ROAD OVER RAIL AT LANGENHOVEN,Bridge,Bridge,11/5/2019,TR07501+,31.70,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,75.17,70.79
B2100,Camfersdrift River,Bridge,Bridge,11/10/2019,TR00101,0.56,George,George,Garden Route (Eden),6/30/2022,94.72,92.98
B2101,Malgas River,Bridge,Bridge - Arch,11/10/2019,TR00101,4.15,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B2102,ROAD OVER RAIL NEAR CAMPHER STATION,Bridge,Bridge,7/30/2020,TR00102+,4.89,George,Oudtshoorn,Garden Route (Eden),6/30/2022,94.44,85.06
B2103,Doorn River,Bridge,Bridge,11/18/2019,TR00102,8.75,George,Oudtshoorn,Garden Route (Eden),6/30/2022,96.88,94.37
B2107,Ezeljacht River,Bridge,Bridge,11/19/2019,TR00102,20.27,George,Oudtshoorn,Garden Route (Eden),6/30/2022,95.09,92.29
B2108,Ganzekraal River,Bridge,Bridge,11/19/2019,TR00102,34.74,George,Oudtshoorn,Garden Route (Eden),6/30/2022,98.21,95.40
B2109,BRIDGE OVER MOLEN RIVER,Bridge,Bridge,2/1/2021,TR00102,44.44,George,Oudtshoorn,Garden Route (Eden),6/30/2022,97.77,78.89
B2110,BRIDGE OVER DIEP RIVER,Bridge,Bridge,2/1/2021,TR00102,45.69,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B2111,BRIDGE OVER KEURBOOMS RIVER,Bridge,Bridge,2/1/2021,TR00102,58.96,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B2112,BRIDGE OVER POTJIES RIVER,Bridge,Bridge,2/1/2021,TR00102,77.29,George,Oudtshoorn,Garden Route (Eden),6/30/2022,98.21,98.38
B2113,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR00103+,0.02,George,Oudtshoorn,Garden Route (Eden),6/30/2022,88.84,83.13
B2114,Olifants River,Bridge,Bridge,11/22/2019,TR0103,32.13,George,Eden,Garden Route (Eden),6/30/2022,100.00,100.00
B2167,Black River Viaduct (Voortrekker Road),Bridge,Bridge,11/6/2019,TR00201,0.66,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,72.61,58.84
