Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2690,MEIRINGSPOORT CAUSEWAY NO 8,Bridge,Bridge,11/23/2019,TR03304,7.73,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,97.99,88.26
B2690A,Meiringspoort Causeway no 9,Bridge,Bridge,11/23/2019,TR03304,8.49,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,96.65,84.25
B2691,Meiringspoort Causeway no 10,Bridge,Bridge,11/23/2019,TR03304,8.76,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,98.33,89.66
B2691A,Meiringspoort Causeway no 11,Bridge,Bridge,11/23/2019,TR03304,9.25,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,96.93,77.12
B2692,Meiringspoort Causeway no 12,Bridge,Bridge,11/23/2019,TR03304,9.54,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,96.93,94.77
B2692A,Meiringspoort Causeway no 13,Bridge,Bridge,11/23/2019,TR03304,9.85,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,98.10,97.68
B2693,Meiringspoort Causeway no 14,Bridge,Bridge,11/23/2019,TR03304,10.15,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B2694,Meiringspoort Causeway no 15,Bridge,Bridge,11/23/2019,TR03304,11.05,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,94.08,81.13
B2695,MEIRINGSPOORT CAUSEWAY NO. 16,Bridge,Bridge,11/16/2019,TR03304+,11.43,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,87.11,88.86
B2695A,MEIRINGSPOORT CAUSEWAY NO. 17,Bridge,Bridge,11/16/2019,TR03304+,11.70,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,83.43,86.23
B2696,MEIRINGSPOORT CAUSEWAY NO. 18,Bridge,Bridge,11/16/2019,TR03304+,14.10,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,84.86,91.53
B2697,MAIRINGSPOORT CAUSEWAY NO. 19,Bridge,Bridge,11/16/2019,TR03304+,14.97,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,76.75,81.04
B2697A,MEIRINGSPOORT CAUSEWAY NO. 20,Bridge,Bridge,11/16/2019,TR03304+,16.22,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,86.76,92.00
B2697B,MEIRINGSPOORT CAUSEWAY NO. 21,Bridge,Bridge,11/15/2019,TR03304+,16.99,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,68.53,79.31
B2698,MEIRINGSPOORT CAUSEWAY NO.22,Bridge,Bridge,11/16/2019,TR03304+,18.65,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,82.81,92.10
B2699,MEIRINGSPOORT CAUSEWAY NO. 23,Bridge,Bridge,11/19/2019,TR03304+,18.80,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,92.86,94.14
B2700,MEIRINGSPOORT CAUSEWAY NO. 24,Bridge,Bridge,11/18/2019,TR03304+,19.08,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,86.33,87.14
B2701,MEIRINGSPOORT CAUSEWAY NO. 25,Bridge,Bridge,11/15/2019,TR03304+,19.28,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,79.24,93.91
B2702,VLAKKRAAL RIVER,Bridge,Bridge,11/8/2019,TR03401+,1.29,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,94.12,59.52
B2703,Gamka  ,Bridge,Bridge,11/12/2019,TR03401+,29.00,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,97.26,88.48
B2704,Swart ,Bridge,Bridge,11/15/2019,TR03401+,36.30,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,93.90,82.53
B2705,BRIDGE OVER KUILS RIVER,Bridge,Bridge,11/13/2019,TR03501,0.52,Beaufort West,Beaufort West,Central Karoo,6/30/2022,86.83,72.84
B2736,KAT RIVER,Bridge,Bridge,11/11/2019,TR03401+,13.10,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,92.34,87.42
B2781,BRIDGE OVER DRIEHOEKS RIVER,Bridge,Bridge,2/1/2021,TR04401,22.64,George,Oudtshoorn,Garden Route (Eden),6/30/2022,98.88,97.97
B2782,BRIDGE OVER KLEIN RIVER,Bridge,Bridge,2/1/2021,TR04401,24.57,George,Oudtshoorn,Garden Route (Eden),6/30/2022,97.78,98.38
B2783,BRIDGE OVER GROOT RIVER,Bridge,Bridge,2/1/2021,TR04401,30.64,George,Oudtshoorn,Garden Route (Eden),6/30/2022,96.43,95.16
B2784,BRIDGE OVER ONGELEGEN RIVER,Bridge,Bridge,2/1/2021,TR04401,33.76,George,Oudtshoorn,Garden Route (Eden),6/30/2022,95.54,93.27
B2856,BRIDGE OVER SAK RIVER CAUSEWAY NO 1,Bridge,Bridge Cellular,11/13/2019,TR05801,39.81,Beaufort West,Central Karoo,Central Karoo,6/30/2022,85.71,67.67
B2857,BRIDGE OVER SAK RIVER CAUSEWAY NO 2,Bridge,Bridge Cellular,11/13/2019,TR05801,42.39,Beaufort West,Central Karoo,Central Karoo,6/30/2022,82.81,77.37
B2860,Voechs River No.5,Bridge,Bridge,11/21/2019,TR05901,52.58,George,,Garden Route (Eden),6/30/2022,95.00,81.00
B2862,BRIDGE OVER UILSHOEKRIVIER,Bridge,Bridge,12/10/2019,TR06501+,7.62,Swellendam,Paarl,Overberg,6/30/2022,93.61,80.43
B2896,BRIDGE OVER TEEKLOOF RIVER,Bridge,Bridge,11/14/2019,TR07301,37.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,79.27,60.36
B2897,BRIDGE OVER SLINGERFONTEIN RIVER,Bridge,Bridge,11/14/2019, TR07301,55.98,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,84.38,75.05
B2898,BRIDGE OVER MUGGELFONTEIN RIVER,Bridge,Bridge,11/14/2019,TR07301,62.88,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,84.15,66.74
B2899, BRIDGE OVER HOEDEMAKERS RIVER,Bridge,Bridge,11/14/2019,TR07301,69.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,80.13,76.64
B2900,BRIDGE OVER TEEKLOOF RIVER TRIBUTARY,Bridge,Bridge,11/14/2019,TR07301,71.40,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,75.00,81.06
B2904,ROAD OVER RAIL AT ZEBRA STATION,Bridge,Bridge,7/30/2020,TR07501+,5.93,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,94.44,85.06
B2906,LE ROUX RIVER,Bridge,Bridge,10/3/2020,TR07502+,21.81,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,97.77,93.46
B2907,GROBBELAARS RIVER NO 1,Bridge,Bridge,10/3/2020,TR07502+,23.80,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,95.63,91.36
B2908,GROBBELAARS RIVER NO 2,Bridge,Bridge,10/3/2020,TR7502+,27.68,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,92.99,74.77
B2917,Berg River Bridge,Bridge,Bridge,11/18/2019,TR07701+,139.33,Bergrivier,Ceres,West Coast,6/30/2022,82.22,71.45
B2918,Carinus Bridge,Bridge,Bridge,11/18/2019,TR07701,140.49,Bergrivier,Ceres,West Coast,6/30/2022,84.00,73.57
B2919,KLEIN VETTE RIVER,Bridge,Bridge,11/14/2019,TR08301,2.81,Hessequa,Oudtshoorn,Garden Route (Eden),6/30/2022,90.70,93.65
B2921,BRIDGE OVER DIEP RIVER AT MILNERTON (NEW STRUCTURE),Bridge,Bridge,11/7/2019,TR07701,8.58,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,95.33,87.59
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,74.91,62.97
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,70.45,43.96
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,86.98,43.34
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,89.58,49.32
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,70.72,8.26
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,Paarl,Cape Winelands,6/30/2022,68.06,52.69
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.30,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,93.22,94.13
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,Paarl,Cape Winelands,6/30/2022,68.06,85.02
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3.00,Swartland,Malmesbury,West Coast,6/30/2022,81.70,41.50
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.50,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,69.57,41.38
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,87.78,71.04
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,64.77,53.39
B2972,RAIL OVER ROAD AT VAN WYKS RIVER,Bridge,Bridge - Arch,11/27/2019,MR00191,0.22,Drakenstein,Drakenstein,Cape Winelands,6/30/2022,84.38,62.04
B2975A,JAN JOUBERTSGAT BRIDGE,Bridge,Bridge - Arch,11/25/2019,MR00191,37.16,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,80.28,78.33
B2976C,DU TOITS RIVER BRIDGE,Bridge,Bridge,11/25/2019,MR00191,39.33,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,69.98,22.23
B2978,ATLANTIS ROAD OVER RAIL,Bridge,Bridge,11/25/2019,MR00199,19.18,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,97.77,82.86
B2979,BREEDE RIVER NO 1,Bridge,Bridge,11/13/2019,MR00201+,14.56,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.54,82.16
B2980,BREEDE RIVER NO 2,Bridge,Bridge,11/13/2019,MR00201+,14.80,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,93.86,83.40
B2983,BORCHARDS BRIDGE,Bridge,Bridge,10/30/2019,MR00201+,22.62,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,91.39,91.59
B2985,LEEU RIVER,Bridge,Bridge,11/21/2019,MR00201,43.12,Drakenstein,Wellington,Cape Winelands,6/30/2022,89.72,82.88
B2986,HUGOS RIVER,Bridge,Bridge,11/21/2019,MR00201,53.80,Drakenstein,Paarl,Cape Winelands,6/30/2022,91.96,88.18
B2989,WEMMERSHOEK RIVER,Bridge,Bridge,11/27/2019,MR00201,71.69,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,74.00,54.52
B2990,ROAD OVER RAIL AT ARBORETUM AVE,Bridge,Bridge,11/20/2019,MR00207,1.40,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,73.33,55.24
B3006,Bridge over Diep River,Bridge,Bridge,11/18/2019,MR00217,11.07,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,93.89,68.76
B3007,BERG RIVER AT LADY LOCH,Bridge,Bridge,11/26/2019,MR00222,1.41,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,77.36,78.47
B3011,SOUT RIVER AT VOLSTRUISFONTEIN,Bridge,Bridge,11/18/2019,MR00228,3.18,Saldanha Bay,West Coast,West Coast,6/30/2022,90.74,75.09
B3012,"KOCHRA RIVER TRIBUTARY NO1
",Bridge,Bridge,12/4/2019,MR00228,12.19,Swartland,West Coast,West Coast,6/30/2022,86.72,77.34
B3013,"KOCHRA RIVER TRIBUTARY NO2
",Bridge,Bridge,12/4/2019,MR00228,12.63,Swartland,West Coast,West Coast,6/30/2022,92.92,86.78
B3014,"LONG STREET ROAD OVER RAIL
",Bridge,Bridge,12/5/2019,MR00230,1.50,Swartland,Moorreesburg,West Coast,6/30/2022,87.83,94.24
B3015A,Nogo River Bridge (Kotze Bridge),Bridge,Bridge,11/13/2019,MR00230+,1.90,Swartland,Ceres,West Coast,6/30/2022,92.46,69.06
B3017,BRIDGE OVER DONKERSKLOOF STREAM,Bridge,Bridge,11/27/2019,MR00236,15.09,Swartland,West Coast,West Coast,6/30/2022,97.10,96.10
B3018,SOUT RIVER (HOPEFIELD BRIDGE),Bridge,Bridge,11/20/2019,MR00234,1.27,Saldanha Bay,Hopefield,West Coast,6/30/2022,90.18,55.78
B3022A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,MR00264+,7.34,Cape Agulhas,Overberg,Overberg,6/30/2022,85.04,21.25
B3024A,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/6/2019,MR00264+,22.40,Cape Agulhas,Overberg,Overberg,6/30/2022,65.59,16.95
B3025,BRIDGE OVER SOERIVIER,Bridge,Bridge,12/8/2019,MR00264+,25.38,Cape Agulhas,Overberg,Overberg,6/30/2022,69.87,52.83
B3027,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/8/2019,MR00265+,25.56,Cape Agulhas,Overberg,Overberg,6/30/2022,96.65,65.97
B3031,BRIDGE OVER KLIPDRIFTRIVIER,Bridge,Bridge,12/8/2019,MR00266+,0.22,Cape Agulhas,Overberg,Overberg,6/30/2022,92.78,83.41
B3032,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,18.32,Swellendam,Overberg,Overberg,6/30/2022,68.08,7.70
B3033,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,33.43,Swellendam,Overberg,Overberg,6/30/2022,93.33,81.91
B3035,BRIDGE OVER KINKORIVIER,Bridge,Bridge,12/10/2019,MR00270+,7.38,Swellendam,Overberg,Overberg,6/30/2022,91.96,87.61
B3036,SWART RIVER AT DONKERHOEK,Bridge,Bridge,11/19/2019,MR00277+,3.05,Theewaterskloof,Overberg,Overberg,6/30/2022,59.82,61.44
B3037,SWART RIVER AT MATJIESDRIF,Bridge,Bridge,11/19/2019,MR00277+,4.55,Theewaterskloof,Overberg,Overberg,6/30/2022,63.50,79.78
B3038A,PALMIET RIVER - GRABOUW,Bridge,Bridge,11/27/2019,MR00278,2.15,Theewaterskloof,Grabouw,Overberg,6/30/2022,85.08,83.00
B3039,"WITKLIPKLOOF STREAM CULVERT
",Bridge,Bridge Cellular,10/30/2019,MR00279,1.18,Theewaterskloof,Overberg,Overberg,6/30/2022,90.53,82.15
B3045,PALMIET RIVER AT NUWEBERG ,Bridge,Bridge,11/25/2019,MR00279+,26.90,Theewaterskloof,Overberg,Overberg,6/30/2022,84.44,82.47
B3046,PALMIET RIVER AT EIKENHOF,Bridge,Bridge,11/28/2019,MR00279,30.04,Theewaterskloof,Overberg,Overberg,6/30/2022,90.83,75.58
B3049,SOUTPANS RIVER,Bridge,Bridge,10/30/2019,MR00282,13.96,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,85.28,90.35
B3050,BRIDGE OVER DOORN RIVIER - HEIDELBERG,Bridge,Bridge,11/21/2019,MR00286+,0.92,Hessequa,Eden,Garden Route (Eden),6/30/2022,83.71,96.36
B3052,COGMANSKLOOF RIVER,Bridge,Bridge,11/28/2019,MR00287,14.56,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,92.69,61.77
B3053A,BRIDGE OVER  KABOUSRIVIER AT SANDDRIFT,Bridge,Bridge,10/30/2019,MR00287,43.96,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,97.69,94.21
B3054,BREEDE RIVER,Bridge,Bridge,11/28/2019,MR0028,5.89,,,,6/30/2022,85.52,85.06
B3056A,GROOT RIVER,Bridge,Bridge,11/28/2019,MR00289,4.89,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,93.33,89.51
B3057,ROOIBRUG OVER BREEDE,Bridge,Bridge,11/28/2019,MR00289,0.35,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,94.20,92.65
B3058,BOESMANS RIVER,Bridge,Bridge,11/28/2019,MR00289,10.40,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,87.95,75.52
B3059,ROAD OVER RAIL AT ROBERTSON,Bridge,Bridge,11/18/2019,MR00290,0.19,Langeberg,Robertson,Cape Winelands,6/30/2022,86.83,91.34
B3061,BREEDE RIVER (VICTORIA BRIDGE),Bridge,Bridge,11/18/2019,MR00290,2.20,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,74.41,14.03
B3062,KEISERS RIVER,Bridge,Bridge,11/18/2019,MR00290,6.64,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,82.92,74.25
B3063,HOEKS RIVER,Bridge,Bridge,11/17/2019,MR00290,18.32,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,88.62,62.65
B3064,BRIDGE OVER KOO RIVER,Bridge,Bridge,11/1/2019,MR00295,37.88,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,76.38,80.01
B3065,BRIDGE OVER KEISIES RIVER AT HARMONIE,Bridge,Bridge,11/1/2019,MR00295,54.39,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,78.06,77.67
B3068,BADS RIVER,Bridge,Bridge,10/30/2019,MR00299+,9.77,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,77.22,54.55
B3069,ROAD OVER RAIL AT RABIE AVENUE,Bridge,Bridge,11/7/2019,MR00301,1.72,Breede Vallei,Worcester,Cape Winelands,6/30/2022,71.76,30.29
B3070,ROAD OVER RAIL AT PROTEA STREET,Bridge,Bridge,11/7/2019,B3070,5.77,Breede Vallei,Paarl,Cape Winelands,6/30/2022,74.55,4.17
B3071,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,MR00302,1.18,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,87.80,38.28
B3072A,JAN DU TOIT RIVER BRIDGE No.2,Bridge,Bridge,10/31/2019,MR00302,8.20,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,98.14,98.70
B3073,JAN DU TOIT RIVER BRIDGE NO 1,Bridge,Bridge,11/11/2019,MR00302+,8.68,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,94.87,94.43
B3075,ROAD OVER RAIL AT DE DOORNS,Bridge,Bridge,10/30/2019,MR00303+,0.23,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,88.84,66.23
B3077,KLEINVLEI RIVER,Bridge,Bridge,11/12/2019,MR00310+,39.21,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,97.99,93.80
B3078A,SKILPADRUG RIVER,Bridge,Bridge,11/19/2019,MR00312+,1.17,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.09,92.52
B3079,MOULS RIVER,Bridge,Bridge,11/19/2019,MR00312+,7.27,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,94.31,88.02
B3080,ANTJIESBOS RIVER,Bridge,Bridge,11/19/2019,MR00312+,8.81,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,92.50,89.04
B3082,DOORN RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00316+,41.64,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,96.28,82.17
B3087,Groot River Causeway,Bridge,Bridge Cellular,11/6/2019,MR00319+,75.76,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,91.62,67.25
B3089,GOUKOU RIVER,Bridge,Bridge,11/12/2019,MR00332,25.95,Hessequa,,Garden Route (Eden),6/30/2022,77.12,83.75
B3091,VALS RIVER,Bridge,Bridge,11/11/2019,MR00337,11.12,Hessequa,,Garden Route (Eden),6/30/2022,72.54,58.15
B3093,GOURITZ RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,MR00342,67.94,Hessequa,,Garden Route (Eden),6/30/2022,75.82,79.32
B3098,Kaaimans River,Bridge,Bridge - Arch,11/9/2019,MR00355,6.53,George,,Garden Route (Eden),6/30/2022,92.86,96.14
B3099,Silver River,Bridge,Bridge - Arch,11/9/2019,MR00355,8.62,George,,Garden Route (Eden),6/30/2022,95.09,96.65
B3106,KAMMANASSIE RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00359+,10.23,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,86.46,69.17
B3108,GROBBELAARS RIVER NO 1,Bridge,Bridge,11/4/2019,MR00369+,0.84,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,86.48,74.25
B3109,GROBBELAARS RIVER NO 2,Bridge,Bridge,11/4/2019,MR00369+,1.00,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,82.31,73.21
B3111,Gamka River Causeway,Bridge,Bridge,11/6/2019,MR00373,37.25,Prince Albert,Central Karoo,Central Karoo,6/30/2022,72.11,54.70
B3112,PIESANG RIVER (OTTO DU PLESIS BRIDGE),Bridge,Bridge,11/1/2019,MR00383,2.64,Bitou,Plettenberg Bay,Garden Route (Eden),6/30/2022,92.91,85.84
B3125,KROMLAAGTE STREAM,Bridge,Bridge,11/22/2019,MR00404,0.50,George,,Garden Route (Eden),6/30/2022,100.00,100.00
B3174,De Molen Stream Culvert,Bridge,Bridge,11/20/2019,MR00526+,7.52,Bergrivier,West Coast,West Coast,6/30/2022,79.58,59.33
B3175,Bridge over Smits River,Bridge,Bridge,11/20/2019,MR00526+,9.20,Bergrivier,Ceres,West Coast,6/30/2022,88.62,86.89
B3176,Bridge over Hans Byls River,Bridge,Bridge,11/20/2019,MR00526+,15.14,Bergrivier,Ceres,West Coast,6/30/2022,82.14,80.81
B3179,Platkloof River Bridge,Bridge,Bridge,11/18/2019,MR00529+,9.63,Bergrivier,Ceres,West Coast,6/30/2022,89.96,93.58
B3180,Boesmans River Bridge,Bridge,Bridge,11/18/2019,MR00529,21.18,Bergrivier,Ceres,West Coast,6/30/2022,89.96,86.30
B3183,BERG RIVER AT KERSFONTEIN,Bridge,Bridge,11/18/2019,MR00530+,2.16,Bergrivier,West Coast,West Coast,6/30/2022,86.31,66.33
B3184,Waboom River Bridge,Bridge,Bridge,11/19/2019,MR00531+,21.01,Bergrivier,Ceres,West Coast,6/30/2022,93.04,80.81
B3185,Kruismans River at Welbedag,Bridge,Bridge,11/19/2019,MR00531+,44.22,Bergrivier,Ceres,West Coast,6/30/2022,88.04,49.94
B3188,Verlorenvlei River at Redelinghuys,Bridge,Bridge,11/19/2019,MR00534+,45.32,Bergrivier,West Coast,West Coast,6/30/2022,96.80,82.97
B3190,KRUISMANS RIVER NEAR HET KRUIS,Bridge,Bridge,11/19/2019,MR00538+,85.85,Bergrivier,Ceres,West Coast,6/30/2022,100.00,100.00
B3191,BRIDGE OVER OLIFANTS RIVER CAUSEWAY NO1,Bridge,Bridge Cellular,12/7/2019,MR00539,1.27,Cederberg,West Coast,West Coast,6/30/2022,87.64,71.24
B3191A,BRIDGE OVER OLIFANTS RIVER CAUSEWAY NO2,Bridge,Bridge Cellular,11/12/2019,MR00539,1.47,Cederberg,West Coast,West Coast,6/30/2022,95.74,90.35
B3192,BRIDGE OVER BOONTJIES RIVER,Bridge,Bridge,12/7/2019,MR00539,25.92,Cederberg,West Coast,West Coast,6/30/2022,85.08,85.17
B3193,BRIDGE OVER JAN DISSELS RIVER,Bridge,Bridge,11/13/2019,MR00542,0.33,Cederberg,Clanwilliam,West Coast,6/30/2022,91.18,64.81
B3196,BRIDGE OVER DORINGSRIVIER,Bridge,Bridge - Arch,12/12/2019,MR00542+,56.97,Cederberg,West Coast,West Coast,6/30/2022,88.64,7.37
B3199A,Olifants River causeway at Vlermuisklip,Bridge,Bridge Cellular,11/5/2019,MR00546+,51.43,Matzikama,West Coast,West Coast,6/30/2022,66.55,55.69
B3200A,OLIFANTS RIVER AT KLAWER,Bridge,Bridge,11/11/2019,MR00547+,1.66,Matzikama,West Coast,West Coast,6/30/2022,84.51,84.38
B3201,OLIFANTS RIVER CANAL AT KAPEL,Bridge,Bridge,11/12/2019,MR00547+,6.85,Matzikama,West Coast,West Coast,6/30/2022,92.50,88.68
B3203,OLIFANTS RIVER CANAL AT GRUWEL,Bridge,Bridge,11/12/2019,MR00547+,12.06,Matzikama,West Coast,West Coast,6/30/2022,93.33,91.43
B3204,OLIFANTS RIVER CANAL NO 1 AT BOBBEJAANSKRANS,Bridge,Bridge,11/4/2019,MR00547+,16.20,Matzikama,West Coast,West Coast,6/30/2022,83.89,72.33
B3205,OLIFANTS RIVER CANAL NO 2 AT BOBBEJAANSKRANZ,Bridge,Bridge,11/4/2019,MR00547+,16.26,Matzikama,West Coast,West Coast,6/30/2022,87.22,79.10
B3206,OLIFANTS RIVER CANAL AT DORINGVLEI,Bridge,Bridge,11/8/2019,MR00547+,17.22,Matzikama,West Coast,West Coast,6/30/2022,85.83,73.81
B3207,OLIFANTS RIVER CANAL NO 1 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.77,Matzikama,West Coast,West Coast,6/30/2022,92.50,79.45
B3208,OLIFANTS RIVER CANAL NO 2 AT KATMAKOEP,Bridge,Bridge,11/6/2019,MR00547+,28.86,Matzikama,West Coast,West Coast,6/30/2022,83.06,77.36
B3209,OLIFANTS RIVER CANAL AT DIE KROON,Bridge,Bridge,11/6/2019,MR00547+,31.23,Matzikama,West Coast,West Coast,6/30/2022,91.94,79.45
B3210,OLIFANTS RIVER CANAL AT BAKLEIPLAAS,Bridge,Bridge,11/6/2019,MR00547+,33.24,Matzikama,West Coast,West Coast,6/30/2022,91.67,79.36
B3212A,OLIFANTS RIVER AT LUTZVILLE,Bridge,Bridge,11/6/2019,MR00547+,41.89,Matzikama,West Coast,West Coast,6/30/2022,88.65,62.25
B3213,KLEIN RIVER,Bridge,Bridge,11/7/2019,MR00548+,1.06,Matzikama,West Coast,West Coast,6/30/2022,89.20,65.16
B3242,BRIDGE OVER KLIPKRAAL STREAM,Bridge,Bridge,11/12/2019,MR00587,11.85,Beaufort West,Central Karoo,Central Karoo,6/30/2022,91.19,87.36
B3243,BRIDGE OVER SALT RIVER,Bridge,Bridge,11/12/2019,MR00587,13.69,Beaufort West,Central Karoo,Central Karoo,6/30/2022,89.58,65.53
B3244,BRIDGE OVER BUFFELS RIVER CAUSEWAY NO 1,Bridge,Bridge Cellular,11/14/2019,MR00587,54.57,Beaufort West,Central Karoo,Central Karoo,6/30/2022,81.03,56.17
B3274,BRIDGE OVER BUFFELS RIVER,Bridge,Bridge,11/11/2019,MR00607,1.22,Beaufort West,Central Karoo,Central Karoo,6/30/2022,67.19,2.50
B3275,BRIDGE OVER SNYDERSKRAAL CAUSEWAY,Bridge,Bridge Cellular,11/12/2019,MR00607,13.80,Beaufort West,Central Karoo,Central Karoo,6/30/2022,81.38,65.17
